prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,6318158999,6318158999,6318158999,micro kensington eagle bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/micro-kensington-eagle-fushia-combination-others-kurt-geiger-london-6318158999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Kensington Bag is crafted from a pink leather alternative. The front flap is encapsulated in a pink faux fur and finished with an antiqued brass eagle head.7cm (H), 10cm (L), 2cm (D)Strap drop cross body: 123cmTwo snap closures under front flapMagnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit classic credit cardsMaterial: FabricStyle number: 6318158999","The Micro Kensington Bag is crafted from a pink leather alternative. The front flap is encapsulated in a pink faux fur and finished with an antiqued brass eagle head.7cm (H), 10cm (L), 2cm (D)Strap drop cross body: 123cmTwo snap closures under front flapMagnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit classic credit cardsMaterial: FabricStyle number: 6318158999",98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6318158999_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6318158999_20.jpg?v=1&width=800,FALSE,,443,IN STOCK,,,FUSHIA COMBINATION,,,71,TRUE,TRUE,FALSE
Kurt Geiger London,9095709109,9095709109,9095709109,leather soft wallet,https://www.kurtgeiger.us/women/bags/wallets/leather-soft-wallet-black-other-leather-kurt-geiger-london-9095709109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Leather Soft Wallet is crafted from a soft black lambskin leather with signature overstitch quilt.&nbsp;The antiqued brass eagle head sits on the front flap.3.5in (H), 4.5in (L), 0.3in (D)Single press stud closureGold foil embossed branding on the interiorCan fit up to six classic cardsOuter: Lambskin leatherInterior: Leather&nbsp;Style number: 9095709109","The Leather Soft Wallet is crafted from a soft black lambskin leather with signature overstitch quilt.&nbsp;The antiqued brass eagle head sits on the front flap.3.5in (H), 4.5in (L), 0.3in (D)Single press stud closureGold foil embossed branding on the interiorCan fit up to six classic cardsOuter: Lambskin leatherInterior: Leather&nbsp;Style number: 9095709109",118.00,118.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/0/9095709109_20.jpg?v=1&width=800,Womens> Bags>  Purse,Womens> Bags>  Purse,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/0/9095709109_20.jpg?v=1&width=800,FALSE,,206,IN STOCK,,,BLACK,,,176,TRUE,TRUE,FALSE
Kurt Geiger London,6290095309,6290095309,6290095309,kensington 17 bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/kensington-17-lilac-patent-kurt-geiger-london-6290095309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kensington 17 bag is crafted from a lilac patent leather with overstitch quilting on the front. There is an antiqued silver eagle head sat on the front flap.10cm (H), 17cm (L), 5cm (D)Strap length: 65cmAntiqued silver metal chain cross body strapTwo magnetic snap closures under front flapAntiqued brass branded plate on the backMaterial: Leather&nbsp;Style number: 6290095309","This Kensington 17 bag is crafted from a lilac patent leather with overstitch quilting on the front. There is an antiqued silver eagle head sat on the front flap.10cm (H), 17cm (L), 5cm (D)Strap length: 65cmAntiqued silver metal chain cross body strapTwo magnetic snap closures under front flapAntiqued brass branded plate on the backMaterial: Leather&nbsp;Style number: 6290095309",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6290095309_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6290095309_20.jpg?v=1&width=800,FALSE,,365,IN STOCK,,,Purple,,,105,TRUE,TRUE,FALSE
Kurt Geiger London,9095700109,9095700109,9095700109,drench leather wallet,https://www.kurtgeiger.us/women/bags/wallets/leather-soft-wallet-black-leather-kurt-geiger-london-9095700109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Leather Soft Wallet is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern.&nbsp;The black Eagle head features hematite crystals and black bead eyes on the front flap.3.5in (H), 4.5in (L), 0.3in(D)Single press stud closureSilver foil embossed branding on the interiorCan fit up to six classic cardsOuter: Lambskin leatherInterior: PU&nbsp;Style number:&nbsp;9095700109","The Leather Soft Wallet is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern.&nbsp;The black Eagle head features hematite crystals and black bead eyes on the front flap.3.5in (H), 4.5in (L), 0.3in(D)Single press stud closureSilver foil embossed branding on the interiorCan fit up to six classic cardsOuter: Lambskin leatherInterior: PU&nbsp;Style number:&nbsp;9095700109",118.00,118.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/0/9095700109_20.jpg?v=1&width=800,Womens> Bags> Purse,Womens> Bags> Purse,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/0/9095700109_20.jpg?v=1&width=800,FALSE,,370,IN STOCK,,,BLACK,,,99,TRUE,TRUE,FALSE
Kurt Geiger London,7386000109,7386000109,7386000109,xxl kensington drench bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/xxl-kensington-drench-black-leather-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Extra Large Kensington Drench Purse is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal Eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;9.4in (H), 15in (L), 5.5in (D)Strap drop cross body: 42inStrap drop shoulder: 25.5inBlack metal chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapSilver foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number:&nbsp;7386000109","The Extra Large Kensington Drench Purse is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal Eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;9.4in (H), 15in (L), 5.5in (D)Strap drop cross body: 42inStrap drop shoulder: 25.5inBlack metal chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapSilver foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number:&nbsp;7386000109",348.00,348.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/3/7386000109_20.jpg?v=1&width=800,Womens> Bags> Crossbody,Womens> Bags> Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/3/7386000109_20.jpg?v=1&width=800,TRUE,,425,IN STOCK,,,BLACK,,,76,TRUE,TRUE,FALSE
Kurt Geiger London,9548640609,9548640609,9548640609,micro kensington bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/micro-kensington-beige-fabric-kurt-geiger-london-9548640609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Kensington Purse is crafted from a beige houndstooth fabric embellished with gold crystals. The antiqued bass eagle head sits on the front flap.&nbsp;2.7in (H), 3.9in (L), 0.7in (D)Strap drop cross body: 48.4inAntiqued brass chain strapTwo pop closures under flapAntiqued brass branded plate on the backCan fit classic credit cardsPlease take extra care when styling this piece with delicate fabricsOuter: FabricInterior: Monogrammed interior liningStyle number: 9548640609","The Micro Kensington Purse is crafted from a beige houndstooth fabric embellished with gold crystals. The antiqued bass eagle head sits on the front flap.&nbsp;2.7in (H), 3.9in (L), 0.7in (D)Strap drop cross body: 48.4inAntiqued brass chain strapTwo pop closures under flapAntiqued brass branded plate on the backCan fit classic credit cardsPlease take extra care when styling this piece with delicate fabricsOuter: FabricInterior: Monogrammed interior liningStyle number: 9548640609",88.00,88.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548640609_20.jpg?v=1&width=800,Womens> Bags>  Mini Bag,Womens> Bags>  Mini Bag,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548640609_20.jpg?v=1&width=800,FALSE,,1877,IN STOCK,,,Nude,,,12,TRUE,TRUE,FALSE
Kurt Geiger London,9800869999,9800869999,9800869999,large vinyl southbank tote bag,https://www.kurtgeiger.us/women/bags/tote-bags/vinyl-lg-southbank-tote-multiother-others-kurt-geiger-london-9800869999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Vinyl Southbank Tote is crafted in a rainbow glitter vinyl. There are metallic trims as well as antiqued silver Eagle head with crystals on the tab.12.2in (H), 16.1in (L), 5.5in (D)Strap drop: 22inCanvas top handles'Kurt' branding on the bottomAntiqued silver zipper pull closure with tab detailMetallic embossed patch on the front&nbsp;Two side poppers to extend widthInner pocket with two internal lining pocketsInterior: UnlinedStyle number: 9800869999","The Vinyl Southbank Tote is crafted in a rainbow glitter vinyl. There are metallic trims as well as antiqued silver Eagle head with crystals on the tab.12.2in (H), 16.1in (L), 5.5in (D)Strap drop: 22inCanvas top handles'Kurt' branding on the bottomAntiqued silver zipper pull closure with tab detailMetallic embossed patch on the front&nbsp;Two side poppers to extend widthInner pocket with two internal lining pocketsInterior: UnlinedStyle number: 9800869999",198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/8/9800869999_20.jpg?v=1&width=800,Womens> Bags>  Tote,Womens> Bags>  Tote,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/8/9800869999_20.jpg?v=1&width=800,FALSE,,9,IN STOCK,,,Multi-Coloured,,,293,TRUE,TRUE,FALSE
Kurt Geiger London,6290005109,6290005109,6290005109,kensington 17 bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/kensington-17-black-combination-leather-kurt-geiger-london-6290005109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kensington 17 bag is crafted from a black leather with overstitched quilting in a chevron and weave pattern. There is an antiqued brass eagle head sat on the front flap.10cm (H), 17cm (L), 5cm (D)Strap length: 65cmAntiqued brass metal chain cross body strapTwo magnetic snap closures under front flapAntiqued brass branded plate on the backMaterial: LeatherStyle number: 6290005109","This Kensington 17 bag is crafted from a black leather with overstitched quilting in a chevron and weave pattern. There is an antiqued brass eagle head sat on the front flap.10cm (H), 17cm (L), 5cm (D)Strap length: 65cmAntiqued brass metal chain cross body strapTwo magnetic snap closures under front flapAntiqued brass branded plate on the backMaterial: LeatherStyle number: 6290005109",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6290005109_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6290005109_20.jpg?v=1&width=800,TRUE,,52,IN STOCK,,,Black,,,276,TRUE,TRUE,FALSE
Kurt Geiger London,6290056149,6290056149,6290056149,kensington 17 bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/kensington-17-wine-combination-leather-croc-print-kurt-geiger-london-6290056149?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kensington 17 bag is crafted from a wine croc embossed leather. There is an antiqued brass eagle head sat on the front flap.10cm (H), 17cm (L), 5cm (D)Strap length: 65cmAntiqued brass metal chain cross body strapTwo magnetic snap closures under front flapAntiqued brass branded plate on the backMaterial: LeatherStyle number: &nbsp;6290056149","This Kensington 17 bag is crafted from a wine croc embossed leather. There is an antiqued brass eagle head sat on the front flap.10cm (H), 17cm (L), 5cm (D)Strap length: 65cmAntiqued brass metal chain cross body strapTwo magnetic snap closures under front flapAntiqued brass branded plate on the backMaterial: LeatherStyle number: &nbsp;6290056149",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6290056149_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6290056149_20.jpg?v=1&width=800,FALSE,,318,IN STOCK,,,WINE COMBINATION,,,129,TRUE,TRUE,FALSE
Kurt Geiger London,6412255319,6412255319,6412255319,chelsea large slouch flap,https://www.kurtgeiger.us/women/bags/shoulder-bags/chelsea-lg-slouch-flap-red-combination-patent-leather-kurt-geiger-london-6412255319?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crafted from a slouchy deep red croc embossed leather, this Large Chelsea Slouch Flap bag sits on the shoulder with the two red embossed leather straps. The front flap is adorned with an antiqued brass eagle head.22cm (H), 34cm (L), 13cm (D)Strap length: 68cmAdjustable shoulder strapsCan fit phones up to 6inchesInterior zipped pocket&nbsp;Material: LeatherStyle number: 6412255319","Crafted from a slouchy deep red croc embossed leather, this Large Chelsea Slouch Flap bag sits on the shoulder with the two red embossed leather straps. The front flap is adorned with an antiqued brass eagle head.22cm (H), 34cm (L), 13cm (D)Strap length: 68cmAdjustable shoulder strapsCan fit phones up to 6inchesInterior zipped pocket&nbsp;Material: LeatherStyle number: 6412255319",298.00,298.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/4/6412255319_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/4/6412255319_20.jpg?v=1&width=800,FALSE,,222,IN STOCK,,,Red,,,171,TRUE,TRUE,FALSE
Kurt Geiger London,9544509609,9544509609,9544509609,small southbank tote bag,https://www.kurtgeiger.us/women/bags/tote-bags/small-southbank-tote-black-other-fabric-kurt-geiger-london-9544509609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Mini Southbank Tote is crafted in a canvas with outline ombre rainbow print. There are metallic multi-color trims as well as antiqued brass Eagle head with crystals on the tab.8.2in (H), 10.2in (L), 4.7in(D)Strap: 35.4inCanvas top handles'Kurt' branding on the bottomAntiqued brass zipper pull closure with tab detailMetallic embossed patch on the front&nbsp;Two side poppers to extend widthInner pocket with two internal lining pocketsInterior: UnlinedStyle number: 9544509609","The Mini Southbank Tote is crafted in a canvas with outline ombre rainbow print. There are metallic multi-color trims as well as antiqued brass Eagle head with crystals on the tab.8.2in (H), 10.2in (L), 4.7in(D)Strap: 35.4inCanvas top handles'Kurt' branding on the bottomAntiqued brass zipper pull closure with tab detailMetallic embossed patch on the front&nbsp;Two side poppers to extend widthInner pocket with two internal lining pocketsInterior: UnlinedStyle number: 9544509609",168.00,168.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9544509609_20.jpg?v=1&width=800,Womens> Bags>  Tote,Womens> Bags>  Tote,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9544509609_20.jpg?v=1&width=800,FALSE,,723,IN STOCK,,,BLACK,,,23,TRUE,TRUE,FALSE
Kurt Geiger London,7146369109,7146369109,7146369109,kensington heart bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/kensington-heart-x-body-multiother-leather-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Kensington Heart Bag is crafted from a metallic laminated pebble grain cow leather in the iconic diagonal rainbow sewn stripe pattern. The antiqued silver Eagle head features rainbow colored crystals and black bead eyes on the front.5.9in (H), 6.6in (L), 2.1in (D)Strap drop cross body: 51.1inAntiqued silver chain strapDuo magnetic snap closure hidden under flapAntiqued silver branded plate on the backOuter: Pebble grain cow leatherInterior: Monogrammed interior liningStyle number: 7146369109","The Kensington Heart Bag is crafted from a metallic laminated pebble grain cow leather in the iconic diagonal rainbow sewn stripe pattern. The antiqued silver Eagle head features rainbow colored crystals and black bead eyes on the front.5.9in (H), 6.6in (L), 2.1in (D)Strap drop cross body: 51.1inAntiqued silver chain strapDuo magnetic snap closure hidden under flapAntiqued silver branded plate on the backOuter: Pebble grain cow leatherInterior: Monogrammed interior liningStyle number: 7146369109",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/1/7146369109_20.jpg?v=1&width=800,Womens> Bags> Crossbody,Womens> Bags> Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/1/7146369109_20.jpg?v=1&width=800,TRUE,,4227,IN STOCK,,,Multi-Coloured,,,5,TRUE,TRUE,FALSE
Kurt Geiger London,9128869109,9128869109,9128869109,card holder,https://www.kurtgeiger.us/women/bags/wallets/card-holders/card-holder-multiother-leather-kurt-geiger-london-9128869109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Card Holder is crafted from a pebble grain blue leather. The antiqued brass eagle head features crystals on the front.3.1in (H), 4.1in (L), 0.2in (D)Gold foil embossed logo on the backCan fit up to four classic cardsOuter: LeatherStyle number: 9128869109","This Card Holder is crafted from a pebble grain blue leather. The antiqued brass eagle head features crystals on the front.3.1in (H), 4.1in (L), 0.2in (D)Gold foil embossed logo on the backCan fit up to four classic cardsOuter: LeatherStyle number: 9128869109",58.00,58.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/1/9128869109_20.jpg?v=1&width=800,Womens> Bags>  Purse,Womens> Bags>  Purse,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/1/9128869109_20.jpg?v=1&width=800,FALSE,,228,IN STOCK,,,Multi-Coloured,,,168,TRUE,TRUE,FALSE
Kurt Geiger London,9548600999,9548600999,9548600999,micro kensington drench bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/micro-kensington-black-others-kurt-geiger-london-9548600999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Kensington is crafted from a faux lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black egle head features crystals and black bead eyes on the front flap.&nbsp;2.8in (H), 3.9in (L), 0.8in (D)Strap drop cross body: 48.4inBlack metal chain strapMagnetic snap closure hidden under flapBlack metal branded plate on the backCan fit classic credit cardsOuter: Faux leatherInterior: Monogrammed interior liningStyle number:&nbsp;9548600999","The Micro Kensington is crafted from a faux lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black egle head features crystals and black bead eyes on the front flap.&nbsp;2.8in (H), 3.9in (L), 0.8in (D)Strap drop cross body: 48.4inBlack metal chain strapMagnetic snap closure hidden under flapBlack metal branded plate on the backCan fit classic credit cardsOuter: Faux leatherInterior: Monogrammed interior liningStyle number:&nbsp;9548600999",88.00,88.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548600999_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548600999_20.jpg?v=1&width=800,TRUE,,14622,IN STOCK,,,BLACK,,,1,TRUE,TRUE,FALSE
Kurt Geiger London,9548409769,9548409769,9548409769,micro heart cross body bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/micro-heart-crossbody-black-other-glitter-kurt-geiger-london-9548409769?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Heart Cross Body is crafted from a pink and green glitter coated with vinyl. The antiqued brass eagle head features crystals on the front.4.3in (H), 4.7in (L), 1.1in (D)Strap drop cross body: 50.7inAntiqued brass chain strapAntiqued brass zipperCan fit classic credit cardsOuter: VinylInterior: Monogrammed interior liningStyle number: 9548409769","The Micro Heart Cross Body is crafted from a pink and green glitter coated with vinyl. The antiqued brass eagle head features crystals on the front.4.3in (H), 4.7in (L), 1.1in (D)Strap drop cross body: 50.7inAntiqued brass chain strapAntiqued brass zipperCan fit classic credit cardsOuter: VinylInterior: Monogrammed interior liningStyle number: 9548409769",88.00,88.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548409769_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548409769_20.jpg?v=1&width=800,FALSE,,242,IN STOCK,,,BLACK,,,162,TRUE,TRUE,FALSE
Kurt Geiger London,7376600109,7376600109,7376600109,mini kensington drench bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/mini-kensington-drench-black-leather-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Mini Kensington Drench Purse is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal Eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inBlack metal chain strapDuo magnetic snap closure hidden under flapSilver foil embossed logo on the backCan fit phones up to 7 inchesSmall internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle Number: 7376600109","The Mini Kensington Drench Purse is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal Eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inBlack metal chain strapDuo magnetic snap closure hidden under flapSilver foil embossed logo on the backCan fit phones up to 7 inchesSmall internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle Number: 7376600109",218.00,218.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/3/7376600109_20.jpg?v=1&width=800,Womens> Bags> Crossbody,Womens> Bags> Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/3/7376600109_20.jpg?v=1&width=800,TRUE,,4263,IN STOCK,,,BLACK,,,4,TRUE,TRUE,FALSE
Kurt Geiger London,8885588669,8885588669,8885588669,mini denim kensington bag,https://www.kurtgeiger.us/women/bags/mini/mini-kensington-soft-bag-denim-denim-kurt-geiger-london-8885588669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Kensington purse is crafted from an acid wash denim in weave print. The antiqued brass eagle head features crystals on the front flap.5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit phones up to 7 inchesSmall internal lining pocketMaterial: DenimInterior: Monogrammed interior liningStyle number: 8885588669","This Mini Kensington purse is crafted from an acid wash denim in weave print. The antiqued brass eagle head features crystals on the front flap.5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit phones up to 7 inchesSmall internal lining pocketMaterial: DenimInterior: Monogrammed interior liningStyle number: 8885588669",148.00,148.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/8/8885588669_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/8/8885588669_20.jpg?v=1&width=800,TRUE,,5433,IN STOCK,,,Blue,,,3,TRUE,TRUE,FALSE
Kurt Geiger London,6318170999,6318170999,6318170999,micro kensington eagle bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/micro-kensington-eagle-green-others-kurt-geiger-london-6318170999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Kensington Bag is crafted from a deep green leather alternative. The front flap is encapsulated in a green faux fur and finished with an antiqued brass eagle head.7cm (H), 10cm (L), 2cm (D)Strap drop cross body: 123cmTwo snap closures under front flapMagnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit classic credit cardsMaterial: FabricStyle number: 63081709999","The Micro Kensington Bag is crafted from a deep green leather alternative. The front flap is encapsulated in a green faux fur and finished with an antiqued brass eagle head.7cm (H), 10cm (L), 2cm (D)Strap drop cross body: 123cmTwo snap closures under front flapMagnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit classic credit cardsMaterial: FabricStyle number: 63081709999",98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6318170999_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6318170999_20.jpg?v=1&width=800,FALSE,,277,IN STOCK,,,GREEN,,,146,TRUE,TRUE,FALSE
Kurt Geiger London,6307000109,6307000109,6307000109,chelsea large slouch flap drench,https://www.kurtgeiger.us/women/bags/shoulder-bags/chelsea-lg-slouch-flap-dr-black-leather-kurt-geiger-london-6307000109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crafted from a super slouchy black leather, this Large Chelsea Drench Slouch Flap bag sits on the shoulder with the two black leather straps. The front flap is adorned with a black eagle head.22cm (H), 34cm (L), 13cm (D)Strap length: 68cmAdjustable leather shoulder strapsCan fit phones up to 6inchesInterior zipped pocket&nbsp;Material: LeatherStyle number: 6307000109","Crafted from a super slouchy black leather, this Large Chelsea Drench Slouch Flap bag sits on the shoulder with the two black leather straps. The front flap is adorned with a black eagle head.22cm (H), 34cm (L), 13cm (D)Strap length: 68cmAdjustable leather shoulder strapsCan fit phones up to 6inchesInterior zipped pocket&nbsp;Material: LeatherStyle number: 6307000109",298.00,298.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6307000109_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6307000109_20.jpg?v=1&width=800,FALSE,,313,IN STOCK,,,BLACK,,,134,TRUE,TRUE,FALSE
